tool,category,access,cost_inr,best_for,patient_data,citation_support,ease,advantages,limitations,official_url,last_verified,verification_note
Tableau Public,Data & statistics,Free,₹0,Public data visualisation,Never upload private patient data,Not applicable,4,Public portfolio visualisation,Published data is public,https://public.tableau.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Google Colab,Data & statistics,Freemium,₹0 free tier; paid plans vary,Cloud notebooks for Python analysis,Do not upload sensitive data unless approved,Code can cite sources manually,4,Accessible coding labs,Compute and privacy constraints,https://colab.research.google.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
RStudio / Posit,Data & statistics,Freemium,₹0 free tier; paid plans vary,R-based statistics and reproducible research,Suitable locally with governance,Manual,3,Advanced research analysis,Requires coding,https://posit.co/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
jamovi,Data & statistics,Open source,₹0 licence; hosting may cost extra,Point-and-click statistics,Suitable locally with governance,Not applicable,5,Beginner-friendly statistics,Advanced methods may require modules/R,https://www.jamovi.org/,2026-07-25,Official access/product page checked on 2026-07-25
JASP,Data & statistics,Open source,₹0 licence; hosting may cost extra,Frequentist and Bayesian statistics,Suitable locally with governance,Not applicable,5,Transparent statistical analysis,Limited custom workflows,https://jasp-stats.org/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Jupyter,Data & statistics,Open source,₹0 licence; hosting may cost extra,Local reproducible coding notebooks,Suitable locally with governance,Manual,3,Local analysis,Requires technical skill,https://jupyter.org/,2026-07-25,Official access/product page checked on 2026-07-25
KNIME Analytics Platform,Data & statistics,Open source,₹0 licence; hosting may cost extra,Visual analytics and automation,Suitable locally with governance,Not applicable,4,Reproducible no/low-code workflows,Learning curve and workflow complexity,https://www.knime.com/,2026-07-25,Official access/product page checked on 2026-07-25
Orange Data Mining,Data & statistics,Open source,₹0 licence; hosting may cost extra,Visual machine-learning workflows,Suitable locally with governance,Not applicable,4,No-code ML teaching,Not a validated clinical system,https://orangedatamining.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
IBM SPSS Statistics,Data & statistics,Paid,₹ Custom academic or commercial quote,Point-and-click statistical analysis and predictive modelling,Use only in an approved governed environment,Methods and sources documented manually,4,Broad statistical procedures and institutional support,Licence cost and editions vary; analysis still needs statistical expertise,https://www.ibm.com/products/spss-statistics,2026-07-26,"Official page confirms subscription, perpetual, campus and student licence options"
HuggingChat,General AI,Free,₹0,Open model experimentation,Do not enter,Weak/variable,3,Model experimentation,Not designed for clinical reliability,https://huggingface.co/chat/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
ChatGPT,General AI,Freemium,₹0 free tier; paid plans vary,"Prompting, drafting, reasoning, data analysis and multimodal tasks",Do not enter unless institutionally approved,Variable—verify original sources,5,General-purpose flexibility; central prompt workflow,Can hallucinate; plan limits and features change,https://chatgpt.com/,2026-07-25,Official access/product page checked on 2026-07-25
Claude,General AI,Freemium,₹0 free tier; paid plans vary,"Long-form analysis, writing and document review",Do not enter unless organisation-approved,Variable—verify,5,Detailed document work,Usage limits and feature access vary,https://claude.ai/,2026-07-25,Official access/product page checked on 2026-07-25
Google Gemini,General AI,Freemium,₹0 free tier; paid plans vary,"General AI, Google ecosystem, multimodal tasks",Do not enter unless organisation-approved,Variable—verify,5,Google Workspace users,Outputs and limits vary by plan,https://gemini.google.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Le Chat,General AI,Freemium,₹0 free tier; paid plans vary,General-purpose assistant from Mistral,Do not enter,Variable—verify,4,Alternative general AI,Feature availability varies,https://chat.mistral.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Microsoft Copilot,General AI,Freemium,₹0 free tier; paid plans vary,Web-grounded general assistance and Microsoft ecosystem workflows,Do not enter unless organisation-approved,Web links available; verify,5,Beginners and Microsoft users,Feature availability varies by plan and region,https://copilot.microsoft.com/,2026-07-25,Official access/product page checked on 2026-07-25
Perplexity,General AI,Freemium,₹0 free tier; paid plans vary,Web research with source links,Do not enter,Strong link visibility; still verify,5,Fast current-information discovery,Not a systematic-review database,https://www.perplexity.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Ollama,General AI,Open source,₹0 licence; local compute costs apply,Running supported language models locally,Local use still requires institutional governance,Model-dependent; generally weak,3,Local model execution and developer control,"Hardware, model licensing and validation remain user responsibilities",https://ollama.com/,2026-07-26,Official project and download page checked
OpenAI API,General AI,Paid,Usage-based; about ₹242 per 1M Terra input tokens,Building governed AI applications and automated workflows,"Use only with approved contracts, controls and data handling",Variable; must be engineered and verified,2,Flexible model and tool integration,"Requires development, monitoring, cost controls and validation",https://developers.openai.com/api/docs/pricing,2026-07-26,Illustrative INR conversion of official USD token price; actual usage and taxes vary
ITK-SNAP,Medical imaging,Free,₹0,Medical image segmentation and viewing,Local approved use only,Not applicable,3,Annotation and segmentation,Research/education context; validate use,http://www.itksnap.org/,2026-07-25,Official access/product page checked on 2026-07-25
Sante DICOM Viewer Free / Pro,Medical imaging,Freemium,₹0 Free edition; Pro pricing varies,Desktop DICOM viewing with optional professional editions,Local approved use only,Not applicable,4,Free entry edition with a professional upgrade path,Windows-focused; verify edition limits and medical-device status,https://www.santesoft.com/win/sante-dicom-viewer-free/sante-dicom-viewer-free.html,2026-07-26,Official product-family page checked; confirm current edition availability
3D Slicer,Medical imaging,Open source,₹0 licence; hosting may cost extra,Medical image visualisation and research,Local approved use only,Not applicable,3,Imaging education and research,Not automatically a diagnostic device,https://www.slicer.org/,2026-07-25,Official access/product page checked on 2026-07-25
MONAI,Medical imaging,Open source,₹0 licence; hosting may cost extra,Medical imaging AI development framework,Local approved use only,Manual,2,Research model development,Requires coding and validation,https://monai.io/,2026-07-25,Official access/product page checked on 2026-07-25
OsiriX MD,Medical imaging,Paid,"From ≈₹6,750/month",Professional DICOM viewing and post-processing on macOS,Use only in approved clinical environments,Not applicable,4,Full-featured certified medical image viewer,macOS-only; licence and clinical governance required,https://www.osirix-viewer.com/osirix/osirix-md/,2026-07-26,Official starting price of US$69.99/month converted at about ₹96.5 and rounded
Google Meet,Meeting support,Free,₹0 personal tier,Basic video meetings and collaborative discussions,Do not conduct or record confidential encounters without approval,Not applicable,5,Accessible browser-based meetings,"Recording, duration and administration features vary by plan",https://workspace.google.com/products/meet/,2026-07-26,Official product page checked; verify Workspace plan limits
Fathom,Meeting support,Freemium,₹0 free tier; paid plans vary,Meeting transcription and summaries,Do not record confidential encounters without approval/consent,Not applicable,5,Team meeting notes,Platform and consent requirements,https://fathom.video/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Fireflies.ai,Meeting support,Freemium,₹0 free tier; paid plans vary,Meeting transcription and action items,Do not record confidential encounters without approval/consent,Not applicable,4,Meeting workflows,Privacy and data residency review needed,https://fireflies.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Otter.ai,Meeting support,Freemium,₹0 free tier; paid plans vary,Transcription and meeting notes,Do not record confidential encounters without approval/consent,Not applicable,5,Non-clinical meeting capture,"Consent, privacy and plan limits",https://otter.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Whisper,Meeting support,Open source,₹0 licence; local compute costs apply,Local speech recognition and transcription experiments,Local use still requires consent and governance,Not applicable,2,Open local transcription workflow,Requires technical setup; errors and language bias require review,https://github.com/openai/whisper,2026-07-26,Official source repository checked
Dragon Medical One,Meeting support,Paid,₹ Custom institutional quote,Speech-driven clinical documentation,Use only under an approved organisational deployment,Not applicable,4,Healthcare-focused speech recognition and workflow support,"Procurement, integration and local governance are required",https://www.microsoft.com/en-us/health-solutions/clinical-workflow/dragon-medical-one,2026-07-26,Official Microsoft healthcare product page checked; pricing is quote-based
Google Translate,Patient communication,Free,₹0,Rapid translation,Do not enter identifiable text,Not applicable,5,Basic multilingual drafts,Medical nuance and accuracy vary,https://translate.google.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
DeepL,Patient communication,Freemium,₹0 free tier; paid plans vary,Translation and language refinement,Do not enter identifiable or confidential text,Not applicable,5,High-quality translation drafts,Clinical nuance needs bilingual review,https://www.deepl.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Readable,Patient communication,Freemium,₹0 free tier; paid plans vary,Readability analysis,Do not enter sensitive text,Not applicable,5,Plain-language checking,Readability is not comprehension,https://readable.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Argos Translate,Patient communication,Open source,₹0 licence; local compute costs apply,Local offline machine-translation experiments,Local use still requires privacy review,Not applicable,3,Offline open-source translation,Medical accuracy and language coverage require bilingual review,https://www.argosopentech.com/,2026-07-26,Official project page checked
DeepL Pro,Patient communication,Paid,From ≈₹845/month billed annually,Professional translation drafts and document translation,Use only under approved privacy terms and workflow,Not applicable,5,Professional translation features and glossary support,Clinical nuance still requires qualified bilingual review,https://www.deepl.com/en/pro,2026-07-26,Official starting price of US$8.74/month converted at about ₹96.5 and rounded
Google Slides,Presentation,Free,₹0 personal tier,Collaborative presentations and simple workshop decks,Do not upload patient data or images without approval,Citations added manually,5,Accessible real-time collaboration,Advanced governance and organisational controls depend on plan,https://workspace.google.com/products/slides/,2026-07-26,Official product page checked
Canva,Presentation,Freemium,₹0 free tier; paid plans vary,Visual communication and presentations,Do not upload patient images/data,Not applicable,5,Fast visual content,Free AI and export limits,https://www.canva.com/,2026-07-25,Official access/product page checked on 2026-07-25
Datawrapper,Presentation,Freemium,₹0 free tier; paid plans vary,"Accessible charts, maps and tables",Use synthetic or approved data,Not applicable,5,Publication-ready charts,Advanced branding paid,https://www.datawrapper.de/,2026-07-25,Official access/product page checked on 2026-07-25
Flourish,Presentation,Freemium,₹0 free tier; paid plans vary,Interactive visualisations and stories,Use synthetic or approved data,Not applicable,4,Interactive storytelling,Publishing/privacy settings need review,https://flourish.studio/,2026-07-25,Official access/product page checked on 2026-07-25
Gamma,Presentation,Freemium,₹0 free tier; paid plans vary,AI-generated presentations and web documents,Do not upload confidential content,Not applicable,5,Fast first-draft decks,Free credits may not refresh,https://gamma.app/,2026-07-25,Official access/product page checked on 2026-07-25
Napkin AI,Presentation,Freemium,₹0 free tier; paid plans vary,Turn text into visual diagrams,Do not upload confidential content,Not applicable,5,Simple conceptual visuals,Check accuracy and licensing,https://www.napkin.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
LibreOffice Impress,Presentation,Open source,₹0 licence,Local offline presentation creation,Suitable locally with governance,Citations added manually,4,No subscription and local file control,Compatibility and advanced collaboration may be limited,https://www.libreoffice.org/discover/impress/,2026-07-26,Official open-source office-suite page checked
Beautiful.ai Pro,Presentation,Paid,"From ≈₹1,160/month billed annually",AI-assisted professional slide design,Do not upload confidential or patient content,Citations added and verified manually,5,Guided layouts and consistent visual design,"Subscription, export and AI accuracy require review",https://www.beautiful.ai/pricing,2026-07-26,Official Pro price of US$12/month billed annually converted and rounded
MyBib,Reference management,Free,₹0,Generating and exporting common citation styles,Do not enter patient information,Formats citations; metadata must be verified,5,Free browser-based citation generation,Source metadata and style details can still be wrong,https://www.mybib.com/,2026-07-26,Official product pages describe the citation generator as free
Mendeley Reference Manager,Reference management,Freemium,₹0 free tier; paid plans vary,Reference organisation and citation,Do not enter patient data,Reference management,4,Reference libraries,Account and ecosystem dependence,https://www.mendeley.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Zotero,Reference management,Open source,₹0 licence; hosting may cost extra,"Collect, annotate, cite and organise references",Do not enter patient data,Strong reference management,4,Free reference management,Cloud storage limits may apply,https://www.zotero.org/,2026-07-25,Official access/product page checked on 2026-07-25
Paperpile,Reference management,Paid,"From ≈₹400/month for eligible academics, billed annually",Cloud reference management and Google Docs or Word citation,Do not store patient information,"Reference collection, organisation and citation",5,Integrated browser and document citation workflow,Subscription required after trial; metadata still needs checking,https://paperpile.com/pricing/,2026-07-26,Official academic price of US$4.15/month converted at about ₹96.5 and rounded
ClinicalTrials.gov,Research discovery,Free,₹0,Clinical trial registry search,Do not enter,Registry source,4,Trial identification,Registry data may be incomplete or outdated,https://clinicaltrials.gov/,2026-07-25,Official access/product page checked on 2026-07-25
Google Scholar,Research discovery,Free,₹0,Broad scholarly discovery,Do not enter,Links citations; metadata can vary,4,Broad interdisciplinary discovery,Coverage and ranking are opaque,https://scholar.google.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
OpenAlex,Research discovery,Free,₹0,Open scholarly metadata and APIs,Do not enter,Metadata source,3,Open bibliometric workflows,Technical for many users,https://openalex.org/,2026-07-25,Official access/product page checked on 2026-07-25
PubMed,Research discovery,Free,₹0,Biomedical literature search,Do not enter,Primary bibliographic source,4,Verified biomedical search,Requires search skill and critical appraisal,https://pubmed.ncbi.nlm.nih.gov/,2026-07-25,Official access/product page checked on 2026-07-25
ResearchRabbit,Research discovery,Free,₹0,Citation-network exploration and collections,Do not enter,Source-linked,4,Finding related authors and papers,Can encourage unstructured exploration,https://www.researchrabbit.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Semantic Scholar,Research discovery,Free,₹0,Academic search and citation exploration,Do not enter,Paper metadata and links,4,Discovery and citation graphs,Not a substitute for database searching,https://www.semanticscholar.org/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
WHO ICTRP,Research discovery,Free,₹0,International trial registry portal,Do not enter,Registry source,3,Global trial discovery,Interface and record completeness vary,https://trialsearch.who.int/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Connected Papers,Research discovery,Freemium,₹0 free tier; paid plans vary,Visual paper similarity graphs,Do not enter,Source-linked,4,Seed-paper exploration,Not comprehensive systematic searching,https://www.connectedpapers.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Consensus,Research discovery,Freemium,₹0 free tier; paid plans vary,Question-based research evidence summaries,Do not enter,Paper links; verify context,5,Rapid evidence orientation,May oversimplify nuanced evidence,https://consensus.app/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Elicit,Research discovery,Freemium,₹0 free tier; paid plans vary,"Literature discovery, screening and evidence extraction",Do not enter,Paper-linked outputs; verify,4,Structured literature workflows,Free limits and coverage constraints,https://elicit.com/,2026-07-25,Official access/product page checked on 2026-07-25
Litmaps,Research discovery,Freemium,₹0 free tier; paid plans vary,Citation mapping and alerts,Do not enter,Source-linked,4,Living literature maps,Free limits,https://www.litmaps.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
SciSpace,Research discovery,Freemium,₹0 free tier; paid plans vary,"PDF reading, literature review and extraction",Do not enter confidential documents,Paper-linked; verify,4,Reading and extracting papers,Plan limits and extraction errors,https://scispace.com/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
Open Knowledge Maps,Research discovery,Open source,₹0 hosted access; self-hosting may cost extra,Visual exploration of scientific topics and related literature,Do not enter confidential information,Paper-linked discovery; verify original sources,4,"Open, nonprofit visual discovery platform",Exploratory mapping is not a systematic search,https://openknowledgemaps.org/,2026-07-26,Official page confirms open-source software and hosted access
Scite,Research discovery,Paid,"≈₹1,930/month; verify current plan",Smart citations and claim context,Do not enter,Strong citation-context support,4,Checking how papers are cited,Subscription commonly required,https://scite.ai/,Plan recheck required,Indicative access classification; recheck current plan and regional availability before adoption
